Reaction,Rate of Progress (ropi)
CN + H2O <=> HCN + OH,0.0 mol/m^3/s
CN + O2 <=> NCO + O,0.0 mol/m^3/s
CN + H2 <=> H + HCN,0.0 mol/m^3/s
NCO + O <=> CO + NO,-6.440180183034458e-61 mol/m^3/s
H + NCO <=> CO + NH,0.0 mol/m^3/s
NCO + OH <=> CO + H + NO,-2.491095613574846e-52 mol/m^3/s
N + NCO <=> CO + N2,0.0 mol/m^3/s
NCO + O2 <=> CO2 + NO,-3.620529359721523e-66 mol/m^3/s
NCO + M <=> CO + N + M,0.0 mol/m^3/s
NCO + NO <=> CO + N2O,-8.788535154852792e-50 mol/m^3/s
NCO + NO <=> CO2 + N2,0.0 mol/m^3/s
HCN + M <=> CN + H + M,0.0 mol/m^3/s
HCN + O <=> H + NCO,0.0 mol/m^3/s
HCN + O <=> CO + NH,0.0 mol/m^3/s
HCN + O <=> CN + OH,0.0 mol/m^3/s
HCN + OH <=> H + HOCN,0.0 mol/m^3/s
HCN + OH <=> H + HNCO,0.0 mol/m^3/s
HCN + OH <=> CO + NH2,0.0 mol/m^3/s
H + HCN (+M) <=> H2CN (+M),0.0 mol/m^3/s
H2CN + N <=> CH2 + N2,0.0 mol/m^3/s
C + N2 <=> CN + N,0.0 mol/m^3/s
CH + N2 <=> HCN + N,0.0 mol/m^3/s
CH + N2 (+M) <=> HCNN (+M),0.0 mol/m^3/s
CH2 + N2 <=> HCN + NH,0.0 mol/m^3/s
CH2(S) + N2 <=> HCN + NH,0.0 mol/m^3/s
C + NO <=> CN + O,0.0 mol/m^3/s
C + NO <=> CO + N,0.0 mol/m^3/s
CH + NO <=> HCN + O,5.2306407057714504e-58 mol/m^3/s
CH + NO <=> H + NCO,2.0667409617926218e-58 mol/m^3/s
CH + NO <=> HCO + N,3.1383844234628707e-58 mol/m^3/s
CH2 + NO <=> H + HNCO,1.0851306464945745e-50 mol/m^3/s
CH2 + NO <=> HCN + OH,1.541617107594768e-51 mol/m^3/s
CH2 + NO <=> H + HCNO,2.1612265984984316e-51 mol/m^3/s
CH2(S) + NO <=> H + HNCO,7.903146697987506e-52 mol/m^3/s
CH2(S) + NO <=> HCN + OH,1.122779657252041e-52 mol/m^3/s
CH2(S) + NO <=> H + HCNO,1.5740492548710857e-52 mol/m^3/s
CH3 + NO <=> H2O + HCN,1.04592557602064e-49 mol/m^3/s
CH3 + NO <=> H2CN + OH,3.784208782595238e-50 mol/m^3/s
HCNN + O <=> CO + H + N2,0.0 mol/m^3/s
HCNN + O <=> HCN + NO,0.0 mol/m^3/s
HCNN + O2 <=> HCO + N2 + O,0.0 mol/m^3/s
HCNN + OH <=> H + HCO + N2,0.0 mol/m^3/s
H + HCNN <=> CH2 + N2,0.0 mol/m^3/s
HNCO + O <=> CO2 + NH,0.0 mol/m^3/s
HNCO + O <=> CO + HNO,0.0 mol/m^3/s
HNCO + O <=> NCO + OH,0.0 mol/m^3/s
H + HNCO <=> CO + NH2,0.0 mol/m^3/s
H + HNCO <=> H2 + NCO,0.0 mol/m^3/s
HNCO + OH <=> H2O + NCO,0.0 mol/m^3/s
HNCO + OH <=> CO2 + NH2,0.0 mol/m^3/s
HNCO + M <=> CO + NH + M,0.0 mol/m^3/s
H + HCNO <=> H + HNCO,0.0 mol/m^3/s
H + HCNO <=> HCN + OH,0.0 mol/m^3/s
H + HCNO <=> CO + NH2,0.0 mol/m^3/s
H + HOCN <=> H + HNCO,0.0 mol/m^3/s
HCCO + NO <=> CO + HCNO,2.1686218809975405e-50 mol/m^3/s
CH3 + N <=> H + H2CN,0.0 mol/m^3/s
CH3 + N <=> H2 + HCN,0.0 mol/m^3/s
H + NH3 <=> H2 + NH2,0.0 mol/m^3/s
NH3 + OH <=> H2O + NH2,0.0 mol/m^3/s
NH3 + O <=> NH2 + OH,0.0 mol/m^3/s
CO2 + NH <=> CO + HNO,0.0 mol/m^3/s
CN + NO2 <=> NCO + NO,0.0 mol/m^3/s
NCO + NO2 <=> CO2 + N2O,-3.2455666678331185e-60 mol/m^3/s
CO2 + N <=> CO + NO,-5.642733630073178e-50 mol/m^3/s
CH3 + O => CO + H + H2,1.4691924440558085e-16 mol/m^3/s
C2H4 + O <=> CH2CHO + H,-6.2227111118533075e-25 mol/m^3/s
C2H5 + O <=> CH3CHO + H,-2.594992714045456e-28 mol/m^3/s
HO2 + OH <=> H2O + O2,0.12330142201174091 mol/m^3/s
CH3 + OH => CH2O + H2,6.966076780774137e-17 mol/m^3/s
CH + H2 (+M) <=> CH3 (+M),3.875438412502281e-24 mol/m^3/s
CH2 + O2 => CO2 + 2 H,6.870432242263312e-16 mol/m^3/s
CH2 + O2 <=> CH2O + O,2.842937479520225e-16 mol/m^3/s
2 CH2 => C2H2 + 2 H,5.306861080489374e-42 mol/m^3/s
CH2(S) + H2O => CH2O + H2,6.245352907516324e-18 mol/m^3/s
C2H3 + O2 <=> CH2CHO + O,-6.115500942652203e-22 mol/m^3/s
C2H3 + O2 <=> C2H2 + HO2,-1.5669481282102858e-20 mol/m^3/s
CH3CHO + O <=> CH2CHO + OH,8.81668494717469e-15 mol/m^3/s
CH3CHO + O => CH3 + CO + OH,8.816685191832203e-15 mol/m^3/s
CH3CHO + O2 => CH3 + CO + HO2,8.494846911983167e-14 mol/m^3/s
CH3CHO + H <=> CH2CHO + H2,5.1773695376212886e-15 mol/m^3/s
CH3CHO + H => CH3 + CO + H2,5.2947637941332716e-15 mol/m^3/s
CH3CHO + OH => CH3 + CO + H2O,1.2444236898200946e-12 mol/m^3/s
CH3CHO + HO2 => CH3 + CO + H2O2,6.256130672821969e-13 mol/m^3/s
CH3CHO + CH3 => CH4 + CO + CH3,1.7123372018498168e-27 mol/m^3/s
CH2CO + H (+M) <=> CH2CHO (+M),-1.536624319319448e-15 mol/m^3/s
CH2CHO + O => CH2 + CO2 + H,3.3197760972994607e-19 mol/m^3/s
CH2CHO + O2 => CH2O + CO + OH,5.423598114443926e-15 mol/m^3/s
CH2CHO + O2 => 2 HCO + OH,7.041688159637142e-15 mol/m^3/s
CH2CHO + H <=> CH3 + HCO,1.8624392073164302e-20 mol/m^3/s
CH2CHO + H <=> CH2CO + H2,9.308485968023109e-21 mol/m^3/s
CH2CHO + OH <=> CH2CO + H2O,6.935869733470195e-19 mol/m^3/s
CH2CHO + OH <=> CH2OH + HCO,1.739747499871395e-18 mol/m^3/s
C2H5 + CH3 (+M) <=> C3H8 (+M),0.0 mol/m^3/s
C3H8 + O <=> C3H7 + OH,0.0 mol/m^3/s
C3H8 + H <=> C3H7 + H2,0.0 mol/m^3/s
C3H8 + OH <=> C3H7 + H2O,0.0 mol/m^3/s
C3H7 + H2O2 <=> C3H8 + HO2,0.0 mol/m^3/s
C3H8 + CH3 <=> C3H7 + CH4,0.0 mol/m^3/s
C2H4 + CH3 (+M) <=> C3H7 (+M),0.0 mol/m^3/s
C3H7 + O <=> C2H5 + CH2O,0.0 mol/m^3/s
C3H7 + H (+M) <=> C3H8 (+M),0.0 mol/m^3/s
C3H7 + H <=> C2H5 + CH3,0.0 mol/m^3/s
C3H7 + OH <=> C2H5 + CH2OH,0.0 mol/m^3/s
C3H7 + HO2 <=> C3H8 + O2,0.0 mol/m^3/s
C3H7 + HO2 => C2H5 + CH2O + OH,0.0 mol/m^3/s
C3H7 + CH3 <=> 2 C2H5,0.0 mol/m^3/s
